id,fecha,usuario,texto,tema,sentimiento,likes,reposts
5001,2024-04-07,user_20664,"Performamos felicidad, éxito, satisfacción. Pero detrás de los filtros hay vacío.",Generación Z y crisis de sentido,positivo,5471,2886
5002,2023-05-28,user_92223,La ansiedad generacional es real. El mundo nos entregó una crisis múltiple sin manual de instrucciones.,Generación Z y crisis de sentido,negativo,3841,4982
5003,2022-02-28,user_5842,"La autenticidad no genera engagement. El algoritmo premia la performance, no la verdad.",Generación Z y crisis de sentido,neutral,10349,2692
5004,2023-06-09,user_38731,"Cada click, cada búsqueda, cada like es registrado. Somos perfiles permanentemente monitoreados.",IA y pérdida de autonomía humana,positivo,7826,4137
5005,2024-04-12,user_80716,Camus hablaba del absurdo de la existencia. Hoy lo vivo scrolleando Instagram a las 3 AM sin saber por qué.,Generación Z y crisis de sentido,negativo,10647,4406
5006,2023-10-18,user_2372,Han lo explicó: nos autoexplotamos pensando que es libertad. Es esclavitud disfrazada.,Cultura de lo efímero y proyectos de vida,neutral,6659,2620
5007,2023-11-07,user_33699,Bauman tenía razón: somos identidades líquidas. Me reinvento cada semana según lo que esté trending.,Generación Z y crisis de sentido,positivo,3933,4757
5008,2024-02-14,user_21022,Cambio mi bio cada mes. No sé si es adaptabilidad o falta de una identidad sólida.,Generación Z y crisis de sentido,negativo,12203,1875
5009,2023-10-15,user_71885,Construyo y destruyo mi identidad online como si fuera un juego. Pero a veces me pregunto si perdí mi esencia.,Generación Z y crisis de sentido,positivo,13085,4201
5010,2022-10-17,user_56406,La gratificación inmediata arruinó mi capacidad de esperar. Quiero todo ya.,Cultura de lo efímero y proyectos de vida,neutral,12905,4611
5011,2024-05-12,user_5794,Aceptamos términos y condiciones sin leer. Firmamos nuestra propia vigilancia masiva.,IA y pérdida de autonomía humana,neutral,4243,3435
5012,2022-03-31,user_56368,"Chateamos, no conversamos. Nos etiquetamos, no nos conocemos. Estamos solos juntos.",Cultura de lo efímero y proyectos de vida,negativo,19003,50
5013,2022-08-07,user_32505,"Chateamos, no conversamos. Nos etiquetamos, no nos conocemos. Estamos solos juntos.",Cultura de lo efímero y proyectos de vida,positivo,551,4687
5014,2022-06-20,user_48894,La cultura de lo inmediato nos robó la paciencia. Queremos resultados sin proceso.,Cultura de lo efímero y proyectos de vida,negativo,16816,2799
5015,2023-03-01,user_61549,"Bauman advertía sobre la modernidad líquida. Hoy la vivo: todo es temporal, nada es sólido, ni siquiera yo.",Generación Z y crisis de sentido,neutral,7773,2792
5016,2023-11-13,user_72949,Las burbujas de filtro me encierran en mi propia cámara de eco. Ya no veo perspectivas diferentes.,IA y pérdida de autonomía humana,neutral,14858,116
